Mg 5.70                  -2.706-1.073-0.198-0.619-1.426-2.958
Mg 5.80                  -3.706-1.748-0.465-0.409-0.662-1.515-2.966-4.329
Mg 5.90                        -2.705-1.071-0.602-0.390-0.673-1.447-2.092
Mg 6.00                        -4.047-2.107-1.279-0.671-0.471-0.686-0.740
Mg 6.10                              -3.603-2.458-1.506-0.893-0.650-0.212
Mg 6.20                                    -3.764-2.510-1.539-0.918-0.072
Mg 6.30                                          -3.431-2.147-1.212-0.031-3.611
Mg 6.40                                          -4.218-2.657-1.454-0.018-2.572
Mg 6.50                                          -4.875-3.066-1.628-0.019-1.750-4.309
Mg 6.60                                                -3.408-1.760-0.043-1.118-2.917
Mg 6.70                                                -3.749-1.908-0.120-0.669-1.842
Mg 6.80                                                -4.159-2.139-0.286-0.410-1.061
Mg 6.90                                                -4.683-2.496-0.574-0.344-0.557
Mg 7.00                                                      -2.972-0.969-0.437-0.279
Mg 7.10                                                      -3.509-1.415-0.618-0.143
Mg 7.20                                                      -4.054-1.862-0.827-0.077
Mg 7.30                                                      -4.592-2.287-1.034-0.045
Mg 7.40                                                            -2.682-1.230-0.027
Mg 7.50                                                            -3.048-1.410-0.018
Mg 7.60                                                            -3.389-1.577-0.012
Mg 7.70                                                            -3.707-1.731-0.008
Mg 7.80                                                            -4.006-1.875-0.006
Mg 7.90                                                            -4.289-2.010-0.004
Mg 8.00                                                            -4.570-2.142-0.003
Al 4.00-1.997-0.004
Al 4.10-2.183-0.003-4.078
Al 4.20-2.277-0.003-2.788
Al 4.30-2.378-0.010-1.745
Al 4.40-2.533-0.056-0.926-3.393
Al 4.50-2.846-0.246-0.394-1.567
Al 4.60-3.518-0.782-0.323-0.445
Al 4.70-4.671-1.790-0.815-0.081
Al 4.80      -2.872-1.454-0.016
Al 4.90      -3.821-2.019-0.004-4.121
Al 5.00      -4.617-2.477-0.003-2.467
Al 5.10            -2.819-0.027-1.227
Al 5.20            -3.129-0.186-0.459-3.010
Al 5.30            -3.539-0.561-0.151-1.728-4.725
Al 5.40            -4.031-1.051-0.109-0.880-2.864
Al 5.50            -4.649-1.655-0.277-0.377-1.531-4.361
Al 5.60                  -2.438-0.690-0.226-0.709-2.684
Al 5.70                  -3.373-1.304-0.366-0.308-1.583-3.280
Al 5.80                  -4.378-2.026-0.684-0.192-0.892-1.923-3.537
Al 5.90                        -2.829-1.142-0.292-0.518-0.998-1.936-3.365-4.739
Al 6.00                        -3.813-1.825-0.673-0.502-0.519-0.890-1.657-2.341
Al 6.10                              -2.928-1.512-1.003-0.624-0.513-0.737-0.851
Al 6.20                              -4.536-2.884-2.080-1.356-0.836-0.614-0.254
Al 6.30                                    -4.396-3.330-2.302-1.429-0.843-0.090-4.710
Al 6.40                                          -4.480-3.181-2.001-1.113-0.040-3.461
Al 6.50                                                -3.931-2.482-1.338-0.023-2.476
